daerah;latitude;longitude;crime_rate;tingkat_pengangguran;umr;lama_sekolah;jumlah_penduduk;jumlah_penduduk_miskin
Aceh;4.695135;96.7493993;149;5.995;3165031;9.71;5274871;1648820
Sumatera Utara;2.1153547;99.5450974;231;5.81;2499423;9.83;14799361;2640010
Sumatera Barat;-0.7399397;100.8000051;150;6.065;2484041;9.34;5534472;709020
Riau;0.2933469;101.7068294;123;5.62;2888564;9.47;6394087;974610
Jambi;-1.4851831;102.4380581;134;4.695;2630162;8.97;3548228;565900
Sumatera Selatan;-3.3194374;103.914399;147;4.705;3043111;8.68;8467432;2201230
Bengkulu;-3.5778471;102.3463875;172;3.575;2213604;9.2;2010670;608580
Lampung;-4.5585849;105.4068079;92;4.465;2432002;8.51;9007848;2140460
Kep. Bangka Belitung;-2.7410513;106.4405872;133;4.3;3230024;8.49;1455678;140440
Kepulauan Riau;0.9179205;104.446464;127;8.16;3005460;10.22;2064564;274580
DKI Jakarta;-6.211544;106.845172;105;8.05;4276350;11.17;10562088;977700
Jawa Barat;-7.090911;107.668887;29;9.085;1810351;8.96;48274162;8108750
Jawa Tengah;-7.150975;110.1402594;31;5.34;1742015;8.19;36516035;8100830
DI Yogyakarta;-7.8753849;110.4262088;200;3.975;1704608;9.95;3668719;978860
Jawa Timur;-7.5360639;112.2384017;44;4.72;1768777;8.31;40665696;9005070
Banten;-6.4058172;106.0640179;63;9.315;2460997;9.22;11904562;1633630
Bali;-8.4095178;115.188916;60;3.44;2494000;9.31;4317404;362110
Nusa Tenggara Barat;-8.6529334;117.3616476;167;3.63;2183883;8.08;5320092;1459930
Nusa Tenggara Timur;-8.6573819;121.0793705;88;3.46;1950000;8.09;5325566;2327290
Kalimantan Barat;-0.2787808;111.4752851;76;5.14;2399699;7.9;5414390;737480
Kalimantan Tengah;-1.6814878;113.3823545;62;3.955;2903145;8.95;2669969;274720
Kalimantan Selatan;-3.0926415;115.2837585;196;4.205;2877449;8.69;4073584;394790
Kalimantan Timur;1.6406296;116.419389;100;6.795;2981379;9.99;3766039;474250
Kalimantan Utara;0.6246932;123.9750018;146;5.34;3000804;9.3;701814;104490
Sulawesi Utara;-1.4300254;121.4456179;252;6.355;3310723;9.74;2621923;388220
Sulawesi Tengah;-3.6687994;119.9740534;179;3.35;2303711;9.09;2985734;802470
Sulawesi Selatan;-4.14491;122.174605;145;6.005;3103800;8.86;9073509;1577070
Sulawesi Tenggara;0.6999372;122.4467238;81;3.84;2552015;9.41;2624875;619140
Gorontalo;-2.8441371;119.2320784;214;3.785;2788826;8.26;1171681;370330
Sulawesi Barat;-3.2384616;130.1452734;125;2.855;2678863;8.33;1419229;311070
Maluku;1.5709993;127.8087693;303;7.14;2604961;10.2;1848923;640580
Maluku Utara;-1.3361154;133.1747162;69;4.62;2721530;9.42;1282937;173890
Papua Barat;-4.269928;138.0803529;328;6.79;3134600;10;1134068;423800
Papua;-6.2888889;106.7180556;208;3.85;3516700;6.96;4303707;1823600
;;;;;;;;
